,GEOID,stateID,countyID,population_size,age2034,age65up,black,hispanic,asian,white,pct_college_degree_higher,pct_college_grad_student,hhincome,pct_male,pct_female,poverty,mean_commute_time,pct_english_only,pct_foreign_born,median_rent
884,25021402102,25,21,4478,8.8,10.5,12.1,4478,2.5,66.5,31.2,28.6,72363,43.4,56.6,11.8,25.6,71.4,25,1330
885,25021402200,25,21,2332,6.2,12.7,9.9,2332,2.3,73.6,34.9,23.2,86484,47.6,52.4,1.3,33.4,76.1,19.7,1560
886,25021402300,25,21,4394,2.9,24.2,1.3,4394,3.4,85,46.7,25,103382,48,52,1.4,33.5,84.1,10.7,2147
887,25021402400,25,21,6391,5.8,17,9.2,6391,2.5,78.2,60.1,39.1,95104,48.2,51.8,4.1,31.5,84.9,11.2,1799
888,25021402500,25,21,4210,3.7,32.9,7.3,4210,0.9,84.7,58.9,17.5,102991,47.8,52.2,3.5,34.4,89.8,7.8,1227
889,25021403100,25,21,6800,3.2,14.8,0,6800,5.6,88.9,78.4,7.2,174044,49.2,50.8,1.5,33.9,87.4,10.3,1375
890,25021403300,25,21,4206,4.1,16.7,2.9,4206,2.6,91.3,78.4,17.6,166389,51.9,48.1,1.6,32.2,93.3,6.6,1733
891,25021403400,25,21,6759,6.6,22.6,2.1,6759,10.5,82.9,73.7,28.6,111008,47,53,4,30.9,80.1,16.8,392
892,25021403500,25,21,6751,4.4,18.1,4.2,6751,12.2,77.1,66,19.3,120260,47.4,52.6,5.4,27.3,75.1,22,1965
893,25021404100,25,21,4182,2.2,13.2,4.2,4182,18.3,66.3,82.4,9.5,148487,47.3,52.7,8.7,29.5,70.1,22.4,2135
894,25021404201,25,21,3800,1,18.2,0.7,3800,0.7,94.1,85.9,5.5,190938,49.1,50.9,2.6,30.9,91.8,9.5,1677
895,25021404202,25,21,4972,21.3,12.6,4.4,4972,10.4,75.4,80.6,70.9,184219,46.4,53.6,4.1,26.7,74.1,17.7,2071
896,25021404301,25,21,5690,2.3,14.8,0.4,5690,11.9,84.7,86.8,9.4,224375,48.5,51.5,4.5,31.9,85.7,13.7,3212
897,25021404302,25,21,3721,1.3,20.8,0.7,3721,10.5,80.9,72.3,9.4,160524,47.3,52.7,1,31.8,82.3,17.3,2179
898,25021404400,25,21,6639,21.7,13.2,4.5,6639,13.1,72.8,85.7,73,155114,30.4,69.6,4.8,26.6,79.9,12.1,
899,25021405100,25,21,5922,4.8,16.1,3,5922,8,82.9,82.7,17.3,204018,51.3,48.7,0.8,34.8,82.7,15.3,2415
900,25021406101,25,21,6111,3.5,12.6,2.2,6111,8,87.6,68,12,139405,50.9,49.1,3.3,35.3,87.9,7.7,1240
