,year,msacode,msatitle,hhinc_10prct,hhinc_20prct,hhinc_50prct,hhinc_80prct,hhinc_90prct,hhinc_99prct,gini,poverty_rate,tot_pop,black_alonerate,hispanic_anyrate,asian_alonerate,gdp_percap,bachelor_prct,unemp_rate
44,2005.0,16860,"Chattanooga, TN-GA",12161.03172,21160.195190000002,48644.12687,96079.7522,131353.3034,360307.9451,0.4481436,0.13521646,499564.0,0.134385184,0.017651392,0.010927528999999998,33507.25,22.5,0.048073593
45,2005.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",15809.341230000002,28213.593589999997,68101.77762000001,130123.0394,178181.35199999998,532584.5633,0.45466653,0.11807103,9276302.0,0.178523834,0.189841383,0.050374061,45829.676,32.1,0.058664957999999996
46,2005.0,17020,"Chico, CA",13183.19287,20555.79894,48644.12687,103368.7696,132993.7748,385204.2717,0.45420998,0.192,214752.0,0.012083706000000001,0.115137461,0.033848346,26721.525,26.4,0.067460761
47,2005.0,17140,"Cincinnati, OH-KY-IN",13498.74521,25446.76412,60805.15859,114313.6982,158093.4123,409474.1314,0.45074221,0.11425555,2054879.0,0.11314340199999999,0.013931721000000001,0.015605785,41353.867,26.3,0.054482723
48,2005.0,17300,"Clarksville, TN-KY",13133.91426,23105.96026,50468.28163,88440.0118,118402.4157,288524.369,0.40937890000000005,0.13162820000000003,237633.0,0.194114454,0.046184663,0.01508208,20242.176,19.0,0.055918605
49,2005.0,17460,"Cleveland-Elyria, OH",13770.7101,22619.519,55076.78645,108988.5073,145932.3806,387716.0675,0.44628817,0.13910784,2111699.0,0.192499499,0.037635572,0.017259089,42144.437999999995,26.6,0.051077252999999996
50,2005.0,17780,"College Station-Bryan, TX",4864.412687,11758.36645,39746.1868,92423.84106,125441.4396,296628.7713,0.49953112,0.2757496,203500.0,0.10758231,0.181420147,0.035837838,29338.362999999998,36.0,0.042579253
51,2005.0,17820,"Colorado Springs, CO",17670.01485,29186.47612,65439.938389999996,116137.8529,158701.4639,385278.0047,0.41470730000000006,0.10554173,587778.0,0.05696708599999999,0.120496174,0.026686946,29964.79,33.7,0.05253325599999999
52,2005.0,17860,"Columbia, MO",12339.688329999999,24322.06344,50954.22038,105887.0687,141067.9679,398477.1508,0.453507,0.183,148786.0,0.076579786,0.024901536000000002,0.030325434,26998.406000000003,46.4,0.035636381
53,2005.0,18140,"Columbus, OH",13498.74521,25294.945969999997,60637.188539999996,114313.6982,154053.4008,406099.8369,0.4421117,0.12382267,1791126.0,0.12827908300000002,0.023254087000000003,0.026701639,40196.133,32.0,0.054958465
54,2005.0,18580,"Corpus Christi, TX",10574.63754,19336.04043,43293.272919999996,91354.2375,126363.508,340471.27,0.4682234,0.19438979,416308.0,0.033112503,0.542444536,0.01441721,30908.756,19.1,0.056240898
55,2005.0,19100,"Dallas-Fort Worth-Arlington, TX",16782.22377,27970.37295,62021.26176,121741.4816,168056.1086,475375.9533,0.45476022,0.13038814,5776543.0,0.13641324900000001,0.25617242,0.045859955,45437.547,30.0,0.052139198
56,2005.0,19340,"Davenport-Moline-Rock Island, IA-IL",12769.0833,23470.79122,52292.436389999995,99963.68072,131847.4888,403081.691,0.43897548,0.12232043599999999,372876.0,0.060154045999999996,0.062143984000000006,0.014511527,36795.535,24.6,0.045427355
57,2005.0,19380,"Dayton, OH",12936.6825,22741.12931,52292.436389999995,104530.0913,135960.5928,328973.7235,0.43257627,0.12850831,804766.0,0.147876526,0.014626611999999999,0.01705589,34529.797,24.0,0.06249521
58,2005.0,19460,"Decatur, AL",11504.23026,19950.86525,44630.986410000005,90694.92637999999,124116.9608,281173.2562,0.44112962,0.14464086,148399.0,0.109892924,0.036327738,0.00454181,26969.568,17.1,0.047503453
59,2005.0,19500,"Decatur, IL",12161.03172,20673.75392,51076.33322,105711.8818,131051.9664,248457.2243,0.43198457,0.152,111083.0,0.137554801,0.011063799,0.009344364,40858.88,20.7,0.060602619
60,2005.0,19660,"Deltona-Daytona Beach-Ormond Beach, FL",13609.714619999999,22011.46741,48644.12687,88472.05496000001,122096.7585,462119.2053,0.45643327,0.11326585,563305.0,0.078655435,0.075923345,0.011018897,23263.604,20.6,0.037769097
61,2005.0,19740,"Denver-Aurora-Lakewood, CO",16903.83409,29186.47612,66406.18234,128906.9362,177915.89399999997,451319.3673,0.44358233,0.09804243,2332749.0,0.05314330900000001,0.216650827,0.034101826,47096.47,36.8,0.051477397
62,2005.0,19820,"Detroit-Warren-Dearborn, MI",14589.94016,25538.16661,62089.297810000004,121422.8593,159512.1994,412657.3863,0.44040388,0.12862974,4431048.0,0.227438972,0.034200036,0.031516922999999995,42304.52,26.4,0.069712982
63,2005.0,20100,"Dover, DE",14636.83981,23889.38925,58101.9667,103003.9387,150161.8527,310067.7102,0.42966443,0.11,144585.0,0.19262717399999998,0.037078535,0.016115088,27032.97,17.6,0.036395195
64,2005.0,20500,"Durham-Chapel Hill, NC",11309.7595,22741.12931,55940.7459,117232.3458,163145.1049,434508.3243,0.48161072,0.13498779,458287.0,0.262027943,0.085961417,0.036843725,54106.99,42.3,0.042975349
65,2005.0,20740,"Eau Claire, WI",13983.877840000001,20430.53329,54999.279370000004,101090.8826,128691.0466,360946.57399999996,0.43244216,0.108570024,154809.0,0.004883437,0.011271953999999999,0.017938233999999997,32013.592,24.0,0.045634460999999994
66,2005.0,20940,"El Centro, CA",14593.23806,21038.58487,43779.71419,97288.25375,121610.3172,383794.7779,0.43950909999999993,0.213,156113.0,0.017448899,0.7159493440000001,0.020132852,23630.479,11.6,0.159625033
67,2005.0,21060,"Elizabethtown-Fort Knox, KY",13387.02735,23772.45236,46982.119210000004,91207.73789,119960.9319,198031.26,0.38390368,0.12687609,140177.0,0.071816346,0.024747283999999998,0.015865656000000002,19108.777,19.5,0.060999709000000006
68,2005.0,21140,"Elkhart-Goshen, IN",16806.17843,26970.8146,59589.055420000004,101301.3942,130793.7218,406638.4899,0.42038109999999995,0.109,192242.0,0.050857772999999995,0.12751636,0.012140947,48469.555,15.8,0.046371977
69,2005.0,21340,"El Paso, TX",9120.773789,15566.1206,37942.41896,79344.02243,112322.1415,335349.4179,0.47583005,0.29014009999999996,731511.0,0.024337296,0.791418037,0.009592474,19289.447,17.1,0.07047484400000001
70,2005.0,21500,"Erie, PA",10944.92855,19558.5652,46819.97212,89991.63472,118402.6226,296680.4263,0.43786427,0.142,277211.0,0.054514430999999995,0.023653463,0.006334525,28633.125,24.2,0.053781870999999995
71,2005.0,21660,"Eugene, OR",11924.60852,20673.75392,49351.96128,92212.02844,125184.1975,290675.7988,0.43604960000000004,0.162,335831.0,0.008691872,0.054777552,0.030759519,27893.022999999997,28.0,0.061428570999999994
72,2005.0,21780,"Evansville, IN-KY",12161.03172,21646.636459999998,54724.64272999999,100838.4075,130107.7559,376426.6222,0.44457483,0.11864851,303844.0,0.060827267000000004,0.015975303,0.009333737,40030.402,19.6,0.051286081
73,2005.0,22180,"Fayetteville, NC",11674.59045,20890.747369999997,49118.94627,91207.73789,120146.2009,280741.2007,0.4246121,0.17949378,343493.0,0.334664753,0.062571872,0.014323436,19921.023,19.7,0.054501735
74,2005.0,22220,"Fayetteville-Springdale-Rogers, AR-MO",14975.43649,24126.417269999998,52292.436389999995,98504.35692,130123.0394,357561.9024,0.4271045,0.1288438,407987.0,0.014328888,0.12182005800000001,0.020495751,34852.492,25.7,0.033695145
75,2005.0,22380,"Flagstaff, AZ",15444.51028,25077.25147,51276.76504,106506.8771,138833.9948,419501.8354,0.44328263,0.18,127025.0,0.013690218,0.113442236,0.010415273000000001,29019.635,31.8,0.049113917
76,2005.0,22420,"Flint, MI",11105.97698,22619.519,51410.38696,100444.7431,135730.9547,273823.0924,0.42559254,0.16,442508.0,0.197067624,0.024221031,0.010341056,27776.375,19.2,0.078914456
